EmployeeID,UnitID,DesignationID,FirstName,LastName,Gender,DOB,JoinDate,PhoneNo
1,1,12,Mohammed,Puttaiah,M,1972-10-26,1994-06-18,8098787891
2,1,13,Rajesh,Choudhary,M,1996-02-14,2022-11-27,8130534124
3,1,12,Nandakumar,Muddaiah,M,1995-08-14,2022-05-11,9521631697
4,1,15,Vikas,Yellappa,M,1989-06-01,2018-06-06,8138470244
5,1,12,Prasad,Gupta,M,1982-09-01,2012-04-03,9564549859
6,1,11,Imran,Basappa,M,1996-08-26,2018-02-10,9564277800
7,1,12,Madesh,Rangaiah,M,1988-08-18,2018-06-14,8254398056
8,1,13,Sneha,Yellappa,F,1982-05-09,2007-02-24,9552352128
9,2,10,Praveen,Verma,M,1995-05-24,2022-09-20,9423492385
10,2,12,Manjula,Swamy,F,1976-05-01,2006-03-09,9817318358
11,2,10,Pradeep,Thimmaiah,M,1971-01-19,1997-08-16,8155728776
12,2,8,Manoj,Basappa,M,1972-02-13,2001-02-19,9917195288
13,2,12,Naresh,Khan,M,1972-09-25,2000-10-20,8340291214
14,2,14,Gopal,Sridhara,M,1984-10-14,2010-10-20,9891823275
15,2,9,Vanitha,Siddiqui,F,1978-05-22,2001-03-08,9684087145
16,2,9,Deepa,Gowda,F,1991-08-23,2022-08-10,9841068214
17,3,12,Imran,Yellappa,M,1969-11-08,1995-11-19,9936550845
18,3,11,Santosh,Bhat,M,1982-03-03,2004-03-26,9489865458
19,3,12,Gopal,Nayak,M,1994-12-10,2022-05-17,8276276072
20,3,8,Nagaraj,Prabhu,M,1981-01-03,2006-11-27,8388802305
21,3,12,Bhavana,Rao,F,1976-08-17,2008-08-09,9688561612
22,3,15,Naresh,Basappa,M,1987-07-11,2014-11-04,9654265498
23,3,15,Vijay,DSouza,M,1990-09-02,2019-02-11,9453389073
24,3,9,Anitha,Krishnappa,F,1965-11-28,1995-08-14,9835176902
25,4,15,Pradeep,Sridhara,M,1968-04-09,1998-03-10,8175056916
26,4,11,Faisal,Patil,M,1984-09-01,2014-07-03,9525228493
27,4,9,Santosh,Bhat,M,1996-12-10,2022-12-09,8074759996
28,4,11,Mallika,Lingaiah,F,1974-07-07,2005-09-24,9619369750
29,4,14,Prasad,Krishnappa,M,1982-01-10,2008-10-19,9975718414
30,4,15,Sowmya,Basappa,F,1987-06-18,2017-07-15,9335320492
31,4,11,Bhavana,Murthy,F,1979-07-02,2006-12-16,8061818612
32,4,10,Nagaveni,Rao,F,1973-09-19,2000-02-28,8123383077
33,5,15,Rajesh,Bhat,M,1991-11-05,2014-08-26,9455440919
34,5,14,Santosh,Reddy,M,1986-11-28,2016-07-11,9975491202
35,5,8,Rubina,Kumar,F,1980-11-22,2006-04-24,9768246664
36,5,9,Veena,Patil,F,1984-01-02,2011-01-10,9360310319
37,5,11,Puneeth,Choudhary,M,1976-03-06,1999-10-28,8093176117
38,5,15,Kiran,Bhat,M,1979-08-21,2005-08-09,9911261301
39,5,15,Sumathi,Fernandez,F,1975-02-15,2002-10-10,9966949781
40,5,12,Mallika,Shenoy,F,1977-07-28,2006-02-08,8086762164
41,6,12,Imran,Kamath,M,1966-11-13,1992-01-19,9916582607
42,6,15,Sumathi,Singh,F,1987-04-21,2012-10-09,9998473848
43,6,10,Pradeep,Hegde,M,1967-05-26,1996-01-19,9327637794
44,6,12,Deepak,Choudhary,M,1976-04-05,2006-06-17,8246578001
45,6,12,Roopa,Kamath,F,1986-02-15,2009-03-25,9563339667
46,6,13,Radha,Prasad,F,1965-05-18,1988-08-12,9945186708
47,6,13,Dinesh,Fernandez,M,1979-08-01,2010-09-11,8339711402
48,6,9,Fathima,Yellappa,F,1984-11-14,2007-03-02,9850851122
49,7,9,Uma,Khan,F,1973-07-15,2000-11-24,8266254240
50,7,10,Harish,Mirza,M,1971-08-20,1999-05-02,9339161443
51,7,11,Manjunath,Hegde,M,1988-09-21,2015-01-13,9435475673
52,7,15,Radha,DSouza,F,1978-11-21,2009-01-02,9342691263
53,7,11,Sudha,Lingaiah,F,1978-10-07,2003-06-25,9689991301
54,7,10,Umesh,Muddaiah,M,1981-03-04,2013-01-05,9858082464
55,7,11,Kiran,Prabhu,M,1966-03-09,1988-03-24,8080610004
56,7,9,Sudha,Basappa,F,1993-06-17,2022-02-15,8239735904
57,8,8,Akshata,Veerappa,F,1984-08-21,2006-01-16,8067213476
58,8,15,Faisal,Sridhara,M,1969-02-11,2000-03-03,9646912022
59,8,13,Siddesh,Puttaiah,M,1998-05-15,2022-10-14,9725356396
60,8,11,Vidya,Sridhara,F,1979-07-11,2008-07-14,9751949529
61,8,12,Manjunath,Bhat,M,1995-02-03,2018-02-14,9760015814
62,8,8,Chandana,Lingaiah,F,1986-11-04,2014-06-28,9966765623
63,8,8,Sumathi,Puttaiah,F,1984-06-04,2015-09-07,9698145654
64,8,15,Manjula,Hegde,F,1987-09-12,2010-05-19,9567594492
65,9,8,Nanditha,DSouza,F,1982-01-06,2008-12-25,9455610493
