VictimID,CaseID,Name,Gender,Age,OccupationID,ReligionID,CasteID,InjuryType
1,269,Krishnaraj Raju,M,43,15,1,4,None
2,310,Puneeth Shaikh,M,19,9,1,6,None
3,709,Nandakumar Pinto,M,68,1,1,7,None
4,930,Ayesha Joshi,F,29,15,2,10,None
5,1222,Fathima DSouza,F,71,14,7,18,None
6,1259,Venkatesh Raju,M,28,12,7,18,None
7,1804,Lokesh Reddy,M,50,2,1,7,None
8,1898,Praveen Singh,M,68,5,1,2,None
9,1994,Usha Prasad,F,70,5,4,15,None
10,2391,Venkatesh Hegde,M,72,9,1,6,None
11,2727,Ramesh Desai,M,25,12,1,3,None
12,2881,Krishnaraj Sharma,M,17,2,2,11,None
13,4162,Naresh Singh,M,23,10,2,10,None
14,4281,Surendra Reddy,M,58,6,5,16,None
15,4485,Divya Kumar,F,32,6,1,2,None
16,4957,Manjunath Kumar,M,42,15,1,6,None
17,4959,Rajesh Choudhary,M,60,17,3,13,Minor
18,5509,Nikhil Desai,M,75,18,3,12,Minor
19,6109,Sowmya Patel,F,31,7,1,7,Psychological
20,6197,Pooja Verma,F,49,2,4,15,None
21,6210,Dinesh Gupta,M,34,14,1,1,None
22,6210,Praveen Patel,M,34,9,1,7,None
23,6263,Priya Sharma,F,17,13,4,15,None
24,6456,Geeta Shetty,F,20,13,1,4,None
25,6858,Umesh Patil,M,53,4,3,12,None
26,8207,Arjun Shenoy,M,50,13,1,4,Psychological
27,8225,Arjun Desai,M,72,4,1,4,None
28,8356,Nanditha Prabhu,F,45,11,1,3,Minor
29,8458,Akash Verma,M,27,10,2,10,None
30,8501,Deepa Thimmaiah,F,27,1,1,8,None
31,8514,Nandakumar Yellappa,M,70,15,1,2,Minor
32,8526,Naveen Shaikh,M,46,12,6,17,None
33,8526,Priya Pinto,F,72,14,1,5,None
34,8536,Vikas Patil,M,35,11,7,18,None
35,8539,Pavithra Sridhara,F,31,14,5,16,None
36,8565,Sanjay Joshi,M,51,12,2,11,None
37,8572,Rekha Yellappa,F,57,6,1,2,Psychological
38,8578,Vidya DSouza,F,51,16,2,11,None
39,8587,Savitha Reddy,F,72,13,1,3,None
40,8591,Asha Raju,F,37,1,1,6,None
41,8591,Suresh Thimmaiah,M,55,1,1,3,Minor
42,8599,Veena Bhat,F,17,13,7,18,Minor
43,8611,Faisal Thimmaiah,M,44,14,1,2,None
